
,,-0.1579196197874945E+01,0.3589282519605972E-01,-0.1698511960019800E+02,0.2791978547678100E-02,-0.2797985393674363E-09,-0.3084308364347603E-12,-0.5614647731803280E+01,-0.9111028651012700E-03,,,
,,-0.2356231161219795E+00,-0.4480034389276192E-01,-0.1685324240139500E+02,-0.4654762978409417E-01,-0.2796808395714367E-09,-0.3087435389012585E-12,-0.5459316073302980E+01,-0.3506600276891013E-02,,,
,,-0.2355830460928315E+00,0.4490369238638299E-01,-0.1685324217315280E+02,0.5294196901884824E-01,-0.2794260578728396E-09,-0.3083369193352202E-12,-0.5183842381447520E+01,-0.4497850340128924E-02,,,
,,-0.2199248675457505E+00,0.1256738634988881E+00,-0.1658938028560865E+02,-0.4472654920033703E-01,-0.2790754853616431E-09,-0.3092627999318304E-12,-0.4874013568876460E+01,-0.5415321234825325E-02,,,
,,-0.2196572782193105E+00,-0.1274223256498911E+00,-0.1658937969752840E+02,0.5327101300989231E-01,-0.2787249128490570E-09,-0.3100332166701013E-12,-0.4564184923349095E+01,-0.6169227088609912E-02,,,
,,-0.1928366117665325E+00,0.1912930851240297E+00,-0.1632525836309745E+02,-0.4355999460811187E-01,-0.2783743403362084E-09,-0.3106989499613840E-12,-0.4254356546577415E+01,-0.6828559911035636E-02,,,
,,-0.1918138828903460E+00,-0.1944012309236859E+00,-0.1632525766252435E+02,0.5355518654504487E-01,-0.2780237678231168E-09,-0.3113305816106956E-12,-0.3944528531595350E+01,-0.7413520631060638E-02,,,
,,-0.1577867022815220E+00,0.2435915173479809E+00,-0.1606037193576875E+02,-0.4274803599809269E-01,-0.2776731953098048E-09,-0.3117506343165753E-12,-0.3634700961311240E+01,-0.7934852958849986E-02,,,
,,-0.1561465797417495E+00,-0.2469932247622829E+00,-0.1606037145639080E+02,0.5388127983537988E-01,-0.2773226227962972E-09,-0.3119941984049798E-12,-0.3324873907060265E+01,-0.8395497311575691E-02,,,
,,-0.1169090761323602E+00,0.2832112677717821E+00,-0.1579442222216545E+02,0.5455471195120552E-01,-0.2769720502826207E-09,-0.3123298289439094E-12,-0.3015047427156905E+01,-0.8821453310783836E-02,,,
,,-0.1151101117250286E+00,-0.2864911102969869E+00,-0.1579442209867760E+02,-0.4245341146322217E-01,-0.2766214777688031E-09,-0.3122597505274921E-12,-0.2705221565447395E+01,-0.9208544655840950E-02,,,
,,-0.7187788691265672E-01,0.3100837068076906E+00,-0.1552752787250140E+02,0.5514600400016210E-01,-0.2762709052548726E-09,-0.3136574998096057E-12,-0.2395396349862180E+01,-0.9552995367282699E-02,,,
,,-0.7044289437594835E-01,-0.3130086468556697E+00,-0.1552752674767020E+02,-0.4222734852342297E-01,-0.2759204464276951E-09,-0.3139068327759322E-12,-0.2085571790968370E+01,-0.9860494210165291E-02,,,
,,-0.2426072302912478E-01,0.3235602635656494E+00,-0.1525933963737870E+02,0.5564624867419433E-01,-0.2755699876004604E-09,-0.3138870295397304E-12,-0.1775747880522185E+01,-0.1012202034216353E-01,,,
,,-0.2369964188057399E-01,-0.3263495227471617E+00,-0.1525933711817540E+02,-0.4200335963623684E-01,-0.2752194150863572E-09,-0.3131505135687347E-12,-0.1465924590021405E+01,-0.1033999066699232E-01,,,
,,0.2369964188057399E-01,-0.3263495227471617E+00,-0.1498947556855865E+02,0.5634596243489850E-01,-0.2748688425722477E-09,-0.3125115493309699E-12,-0.1156101869257825E+01,-0.1062221445722450E-01,,,
,,0.2426072302912478E-01,0.3235602635656494E+00,-0.1498947127977890E+02,-0.4203778744577684E-01,-0.2745182700581535E-09,-0.3106712268162850E-12,-0.8462796448697265E+00,-0.1101846228282869E-01,,,
,,0.7044289437594835E-01,-0.3130086468556697E+00,-0.1471779108487180E+02,0.5697164716700360E-01,-0.2741676975440939E-09,-0.3082375872541513E-12,-0.6200939286352980E+00,-0.1095108009755383E-01,,,
,,0.7187788691265672E-01,0.3100837068076906E+00,-0.1471778468195055E+02,-0.4204760682838151E-01,-0.2738171250300838E-09,-0.3054975190045434E-12,0.6200939286352980E+00,-0.1095108009755383E-01,,,
,,0.1151101117250286E+00,-0.2864911102969869E+00,-0.1444414211346220E+02,0.5752146288294759E-01,-0.2734664388292963E-09,-0.3057455936036781E-12,0.8462796448697265E+00,-0.1101846228282869E-01,,,
